CustomerID,Recency,Frequency,Monetary,AvgOrderValue,TotalQuantity,UniqueProducts,Tenure,ReturnCount,ReturnAmount,Churn
17850,281.0,34.0,5391.21,158.565,1733.0,21.0,283.0,1.0,102.58,0
13047,36.0,8.0,2682.01,335.25125,1164.0,84.0,283.0,6.0,122.59,1
12583,16.0,9.0,4232.21,470.24555555555554,3463.0,84.0,283.0,1.0,18.0,1
13748,5.0,5.0,948.25,189.65,439.0,24.0,283.0,0.0,0.0,0
15100,243.0,3.0,876.0,292.0,80.0,1.0,283.0,3.0,240.89999999999998,0
15291,4.0,12.0,3685.02,307.085,1457.0,57.0,283.0,5.0,71.79,1
14688,2.0,16.0,4207.62,262.97625,2978.0,112.0,283.0,3.0,27.340000000000003,1
17809,38.0,8.0,2856.71,357.08875,743.0,33.0,283.0,2.0,718.29,1
15311,3.0,65.0,46155.48,710.0843076923078,29510.0,470.0,283.0,21.0,1131.07,1
14527,8.0,40.0,5281.42,132.0355,1343.0,263.0,278.0,23.0,494.06,1
16098,37.0,6.0,1712.49,285.415,501.0,31.0,283.0,0.0,0.0,1
18074,283.0,1.0,489.6,489.6,190.0,13.0,283.0,0.0,0.0,0
17420,80.0,2.0,391.51,195.755,169.0,19.0,283.0,0.0,0.0,1
16029,3.0,52.0,54304.14,1044.3103846153847,25526.0,43.0,283.0,8.0,15943.15,1
16250,170.0,2.0,389.44,194.72,208.0,22.0,283.0,0.0,0.0,0
12431,28.0,11.0,4874.57,443.14272727272726,2108.0,134.0,283.0,3.0,71.06,1
17511,3.0,21.0,59375.75,2827.4166666666665,40277.0,357.0,283.0,11.0,344.86,1
17548,143.0,1.0,103.3,103.3,58.0,5.0,143.0,2.0,244.78,0
13705,54.0,2.0,522.68,261.34,237.0,20.0,283.0,0.0,0.0,1
13747,283.0,1.0,79.6,79.6,8.0,1.0,283.0,0.0,0.0,0
13408,9.0,41.0,17836.68,435.0409756097561,10506.0,178.0,283.0,14.0,424.36,1
